"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"left_fr"	"water_volume"	0	0	0	1.61664e-06	0	0	0	0	0	0	0	0
0	"right_fr"	"water_volume"	0	0	0	-1.6254e-06	0	0	0	0	0	0	0	0
0	"center_fr"	"water_volume"	0	0	0	4.34308e-09	0	0	0	0	0	0	0	0
0	"box"	"water_volume"	0	0	0	0.105294	0	0	0	0	0	0	0	0
0	".left_fr_left_well"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right_fr_right_well"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_z0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_z1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".left_well"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right_well"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"ALL"	"water_volume"	0	0	0	0.105294	0	0	0	0	0	0	0	0
86400	"left_fr"	"water_volume"	0	0	0	59.0535	0.000682646	0.000682646	0	0	0	0	0	0
86400	"right_fr"	"water_volume"	0	0	0	59.2132	0.000685683	0.000685683	0	0	0	0	0	0
86400	"center_fr"	"water_volume"	0	0	0	17.2824	0.000199989	0.000199989	0	0	0	0	0	0
86400	"box"	"water_volume"	0	0	0	-5440.77	-0.0758979	0.000188838	-0.0760867	0	0	0	0	0
86400	".left_fr_left_well"	"water_volume"	0.00130737	0.00130737	0	0	0	0	0	0	0	0	0	0
86400	".right_fr_right_well"	"water_volume"	0.00132334	0.00132334	0	0	0	0	0	0	0	0	0	0
86400	".side_z0"	"water_volume"	2.62713e-20	2.88574e-19	-2.62302e-19	0	0	0	0	0	0	0	0	0
86400	".side_z1"	"water_volume"	-1.46338e-19	1.59847e-18	-1.74481e-18	0	0	0	0	0	0	0	0	0
86400	".side_y0"	"water_volume"	0.00248121	0.00248121	0	0	0	0	0	0	0	0	0	0
86400	".side_y1"	"water_volume"	0.0024776	0.0024776	0	0	0	0	0	0	0	0	0	0
86400	".side_x0"	"water_volume"	0.00243608	0.00243608	0	0	0	0	0	0	0	0	0	0
86400	".side_x1"	"water_volume"	0.00249849	0.00249849	0	0	0	0	0	0	0	0	0	0
86400	".left_well"	"water_volume"	0.000201048	0.000201048	0	0	0	0	0	0	0	0	0	0
86400	".right_well"	"water_volume"	0.000200116	0.000200116	0	0	0	0	0	0	0	0	0	0
86400	".IMPLICIT_BOUNDARY"	"water_volume"	2.07601e-17	8.53294e-17	-6.45693e-17	0	0	0	0	0	0	0	0	0
86400	"ALL"	"water_volume"	0.0129253	0.0129253	-6.65764e-17	-5305.23	-0.0743295	0.00175716	-0.0760867	1116.74	-6422.07	1116.74	-6422.07	-8.89971e-06
