"time [s]"	"region"	"quantity [m(2).kg.s(-2)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"left_fr"	"energy"	0	0	0	4.88462e+07	0	0	0	0	0	0	0	0
0	"right_fr"	"energy"	0	0	0	4.9025e+07	0	0	0	0	0	0	0	0
0	"center_fr"	"energy"	0	0	0	1.15127e+07	0	0	0	0	0	0	0	0
0	"box"	"energy"	0	0	0	2.00405e+17	0	0	0	0	0	0	0	0
0	".left_fr_left_well"	"energy"	305704	305704	0	0	0	0	0	0	0	0	0	0
0	".right_fr_right_well"	"energy"	-633795	0	-633795	0	0	0	0	0	0	0	0	0
0	".side_z0"	"energy"	-9.96201e+06	0	-9.96201e+06	0	0	0	0	0	0	0	0	0
0	".side_z1"	"energy"	-3.40461e-09	0	-3.40461e-09	0	0	0	0	0	0	0	0	0
0	".side_y0"	"energy"	-9.76753e+06	0	-9.76753e+06	0	0	0	0	0	0	0	0	0
0	".side_y1"	"energy"	-9.78679e+06	0	-9.78679e+06	0	0	0	0	0	0	0	0	0
0	".side_x0"	"energy"	-1.01502e+07	0	-1.01502e+07	0	0	0	0	0	0	0	0	0
0	".side_x1"	"energy"	-9.65291e+06	0	-9.65291e+06	0	0	0	0	0	0	0	0	0
0	".left_well"	"energy"	-1.4043e+06	0	-1.4043e+06	0	0	0	0	0	0	0	0	0
0	".right_well"	"energy"	-194977	0	-194977	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"energy"	-1.43705e-08	0	-1.43705e-08	0	0	0	0	0	0	0	0	0
0	"ALL"	"energy"	-5.12468e+07	305704	-5.15525e+07	2.00405e+17	0	0	0	0	0	0	0	0
3.15576e+07	"left_fr"	"energy"	0	0	0	4.63865e+07	0	0	0	0	0	0	0	0
3.15576e+07	"right_fr"	"energy"	0	0	0	4.90989e+07	0	0	0	0	0	0	0	0
3.15576e+07	"center_fr"	"energy"	0	0	0	1.15042e+07	0	0	0	0	0	0	0	0
3.15576e+07	"box"	"energy"	0	0	0	2.00389e+17	0	0	0	0	0	0	0	0
3.15576e+07	".left_fr_left_well"	"energy"	403556	403556	0	0	0	0	0	0	0	0	0	0
3.15576e+07	".right_fr_right_well"	"energy"	-636948	0	-636948	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_z0"	"energy"	26892	26892	0	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_z1"	"energy"	-3.40558e-09	0	-3.40558e-09	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_y0"	"energy"	-2096.6	30156.6	-32253.2	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_y1"	"energy"	-1218.37	30350.2	-31568.6	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_x0"	"energy"	-174613	0	-174613	0	0	0	0	0	0	0	0	0
3.15576e+07	".side_x1"	"energy"	170944	170944	0	0	0	0	0	0	0	0	0	0
3.15576e+07	".left_well"	"energy"	-97886.5	950.153	-98836.6	0	0	0	0	0	0	0	0	0
3.15576e+07	".right_well"	"energy"	-195076	0	-195076	0	0	0	0	0	0	0	0	0
3.15576e+07	".IMPLICIT_BOUNDARY"	"energy"	-1.43235e-08	0	-1.43235e-08	0	0	0	0	0	0	0	0	0
3.15576e+07	"ALL"	"energy"	-506445	662849	-1.16929e+06	2.00389e+17	0	0	0	-1.59822e+13	0	-1.59822e+13	0	42784
6.31152e+07	"left_fr"	"energy"	0	0	0	4.53706e+07	0	0	0	0	0	0	0	0
6.31152e+07	"right_fr"	"energy"	0	0	0	4.91326e+07	0	0	0	0	0	0	0	0
6.31152e+07	"center_fr"	"energy"	0	0	0	1.14964e+07	0	0	0	0	0	0	0	0
6.31152e+07	"box"	"energy"	0	0	0	2.00375e+17	0	0	0	0	0	0	0	0
6.31152e+07	".left_fr_left_well"	"energy"	405495	405495	0	0	0	0	0	0	0	0	0	0
6.31152e+07	".right_fr_right_well"	"energy"	-637511	0	-637511	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_z0"	"energy"	26891.9	26891.9	0	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_z1"	"energy"	-3.40637e-09	0	-3.40637e-09	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_y0"	"energy"	-2151.07	30129.7	-32280.8	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_y1"	"energy"	-1270.92	30323.2	-31594.2	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_x0"	"energy"	-174666	0	-174666	0	0	0	0	0	0	0	0	0
6.31152e+07	".side_x1"	"energy"	170891	170891	0	0	0	0	0	0	0	0	0	0
6.31152e+07	".left_well"	"energy"	-17147.7	5066.14	-22213.8	0	0	0	0	0	0	0	0	0
6.31152e+07	".right_well"	"energy"	-195130	0	-195130	0	0	0	0	0	0	0	0	0
6.31152e+07	".IMPLICIT_BOUNDARY"	"energy"	-1.42794e-08	0	-1.42794e-08	0	0	0	0	0	0	0	0	0
6.31152e+07	"ALL"	"energy"	-424599	668797	-1.0934e+06	2.00375e+17	0	0	0	-1.33993e+13	0	-2.93815e+13	0	92608
9.46728e+07	"left_fr"	"energy"	0	0	0	4.46884e+07	0	0	0	0	0	0	0	0
9.46728e+07	"right_fr"	"energy"	0	0	0	4.91589e+07	0	0	0	0	0	0	0	0
9.46728e+07	"center_fr"	"energy"	0	0	0	1.14889e+07	0	0	0	0	0	0	0	0
9.46728e+07	"box"	"energy"	0	0	0	2.00363e+17	0	0	0	0	0	0	0	0
9.46728e+07	".left_fr_left_well"	"energy"	406050	406050	0	0	0	0	0	0	0	0	0	0
9.46728e+07	".right_fr_right_well"	"energy"	-637627	0	-637627	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_z0"	"energy"	26891.9	26891.9	0	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_z1"	"energy"	-3.40702e-09	0	-3.40702e-09	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_y0"	"energy"	-2213.81	30099.3	-32313.1	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_y1"	"energy"	-1332.12	30292.3	-31624.5	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_x0"	"energy"	-174727	0	-174727	0	0	0	0	0	0	0	0	0
9.46728e+07	".side_x1"	"energy"	170829	170829	0	0	0	0	0	0	0	0	0	0
9.46728e+07	".left_well"	"energy"	13516.6	15636.6	-2119.99	0	0	0	0	0	0	0	0	0
9.46728e+07	".right_well"	"energy"	-195161	0	-195161	0	0	0	0	0	0	0	0	0
9.46728e+07	".IMPLICIT_BOUNDARY"	"energy"	-1.42402e-08	0	-1.42402e-08	0	0	0	0	0	0	0	0	0
9.46728e+07	"ALL"	"energy"	-393773	679800	-1.07357e+06	2.00363e+17	0	0	0	-1.24265e+13	0	-4.1808e+13	0	134336
1.2623e+08	"left_fr"	"energy"	0	0	0	4.41612e+07	0	0	0	0	0	0	0	0
1.2623e+08	"right_fr"	"energy"	0	0	0	4.91813e+07	0	0	0	0	0	0	0	0
1.2623e+08	"center_fr"	"energy"	0	0	0	1.14809e+07	0	0	0	0	0	0	0	0
1.2623e+08	"box"	"energy"	0	0	0	2.00351e+17	0	0	0	0	0	0	0	0
1.2623e+08	".left_fr_left_well"	"energy"	406297	406297	0	0	0	0	0	0	0	0	0	0
1.2623e+08	".right_fr_right_well"	"energy"	-637650	0	-637650	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_z0"	"energy"	26891.8	26891.8	0	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_z1"	"energy"	-3.40757e-09	0	-3.40757e-09	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_y0"	"energy"	-2280.94	30067.1	-32348.1	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_y1"	"energy"	-1398.04	30263.6	-31661.6	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_x0"	"energy"	-174794	0	-174794	0	0	0	0	0	0	0	0	0
1.2623e+08	".side_x1"	"energy"	170764	170764	0	0	0	0	0	0	0	0	0	0
1.2623e+08	".left_well"	"energy"	29833	30022	-188.926	0	0	0	0	0	0	0	0	0
1.2623e+08	".right_well"	"energy"	-195182	0	-195182	0	0	0	0	0	0	0	0	0
1.2623e+08	".IMPLICIT_BOUNDARY"	"energy"	-1.42062e-08	0	-1.42062e-08	0	0	0	0	0	0	0	0	0
1.2623e+08	"ALL"	"energy"	-377520	694305	-1.07182e+06	2.00351e+17	0	0	0	-1.19136e+13	0	-5.37217e+13	0	174464
1.57788e+08	"left_fr"	"energy"	0	0	0	4.37269e+07	0	0	0	0	0	0	0	0
1.57788e+08	"right_fr"	"energy"	0	0	0	4.92004e+07	0	0	0	0	0	0	0	0
1.57788e+08	"center_fr"	"energy"	0	0	0	1.14722e+07	0	0	0	0	0	0	0	0
1.57788e+08	"box"	"energy"	0	0	0	2.00339e+17	0	0	0	0	0	0	0	0
1.57788e+08	".left_fr_left_well"	"energy"	406440	406440	0	0	0	0	0	0	0	0	0	0
1.57788e+08	".right_fr_right_well"	"energy"	-637662	0	-637662	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_z0"	"energy"	26891.7	26891.7	0	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_z1"	"energy"	-3.40805e-09	0	-3.40805e-09	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_y0"	"energy"	-2349.7	30034.6	-32384.3	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_y1"	"energy"	-1465.81	30234.1	-31699.9	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_x0"	"energy"	-174862	0	-174862	0	0	0	0	0	0	0	0	0
1.57788e+08	".side_x1"	"energy"	170696	170696	0	0	0	0	0	0	0	0	0	0
1.57788e+08	".left_well"	"energy"	40223	40268.2	-45.2094	0	0	0	0	0	0	0	0	0
1.57788e+08	".right_well"	"energy"	-195199	0	-195199	0	0	0	0	0	0	0	0	0
1.57788e+08	".IMPLICIT_BOUNDARY"	"energy"	-1.41762e-08	0	-1.41762e-08	0	0	0	0	0	0	0	0	0
1.57788e+08	"ALL"	"energy"	-367288	704564	-1.07185e+06	2.00339e+17	0	0	0	-1.15907e+13	0	-6.53124e+13	0	226848
1.89346e+08	"left_fr"	"energy"	0	0	0	4.33563e+07	0	0	0	0	0	0	0	0
1.89346e+08	"right_fr"	"energy"	0	0	0	4.92168e+07	0	0	0	0	0	0	0	0
1.89346e+08	"center_fr"	"energy"	0	0	0	1.14624e+07	0	0	0	0	0	0	0	0
1.89346e+08	"box"	"energy"	0	0	0	2.00328e+17	0	0	0	0	0	0	0	0
1.89346e+08	".left_fr_left_well"	"energy"	406535	406535	0	0	0	0	0	0	0	0	0	0
1.89346e+08	".right_fr_right_well"	"energy"	-637679	0	-637679	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_z0"	"energy"	26891.7	26891.7	0	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_z1"	"energy"	-3.40846e-09	0	-3.40846e-09	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_y0"	"energy"	-2418.23	30006.4	-32424.6	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_y1"	"energy"	-1533.47	30204.7	-31738.2	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_x0"	"energy"	-174930	0	-174930	0	0	0	0	0	0	0	0	0
1.89346e+08	".side_x1"	"energy"	170629	170629	0	0	0	0	0	0	0	0	0	0
1.89346e+08	".left_well"	"energy"	47549.7	47550.3	-0.579776	0	0	0	0	0	0	0	0	0
1.89346e+08	".right_well"	"energy"	-195215	0	-195215	0	0	0	0	0	0	0	0	0
1.89346e+08	".IMPLICIT_BOUNDARY"	"energy"	-1.41489e-08	0	-1.41489e-08	0	0	0	0	0	0	0	0	0
