"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"left_fr"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"right_fr"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"center_fr"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"box"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".left_fr_left_well"	"water_volume"	0.00100273	0.00100273	0	0	0	0	0	0	0	0	0	0
0	".right_fr_right_well"	"water_volume"	-0.00100281	0	-0.00100281	0	0	0	0	0	0	0	0	0
0	".side_z0"	"water_volume"	-4.27586e-20	1.8868e-18	-1.92955e-18	0	0	0	0	0	0	0	0	0
0	".side_z1"	"water_volume"	-3.13493e-19	1.61487e-18	-1.92836e-18	0	0	0	0	0	0	0	0	0
0	".side_y0"	"water_volume"	-2.22926e-19	7.52509e-19	-9.75435e-19	0	0	0	0	0	0	0	0	0
0	".side_y1"	"water_volume"	-3.4007e-20	8.76156e-19	-9.10163e-19	0	0	0	0	0	0	0	0	0
0	".side_x0"	"water_volume"	3.05862e-19	1.12043e-18	-8.14564e-19	0	0	0	0	0	0	0	0	0
0	".side_x1"	"water_volume"	-6.12221e-20	7.8501e-19	-8.46232e-19	0	0	0	0	0	0	0	0	0
0	".left_well"	"water_volume"	7.80226e-06	7.80226e-06	0	0	0	0	0	0	0	0	0	0
0	".right_well"	"water_volume"	-7.721e-06	0	-7.721e-06	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"water_volume"	-7.97705e-18	3.62442e-17	-4.42212e-17	0	0	0	0	0	0	0	0	0
0	"ALL"	"water_volume"	-2.75325e-12	0.00101054	-0.00101054	0	0	0	0	0	0	0	0	0
